timestamp,first_cell_year,was_smartphone,birth_year,generation
"2022/02/08 1:48:24 PM EST","2006","No","1998","Cusper"
"2022/02/08 2:02:52 PM EST","2003","No","1992","Millennial"
"2022/02/08 2:07:26 PM EST","2007","No","1993","Millennial"
"2022/02/08 2:16:49 PM EST","2008","No","1995","Millennial"
"2022/02/08 2:19:14 PM EST","2003","No","1989","Millennial"
"2022/02/08 2:26:36 PM EST","2004","No","1989","Millennial"
"2022/02/08 2:29:24 PM EST","2009","No","1997","Zellenial"
"2022/02/08 2:37:34 PM EST","2005","No","1988","Millennial"
"2022/02/08 2:48:39 PM EST","2005","No","1991","Millennial"
"2022/02/08 2:55:28 PM EST","2008","No","1997","Millennial"
"2022/02/08 3:00:22 PM EST","2014","No","1990","Millennial"
"2022/02/08 3:01:18 PM EST","2005","No","1993","Millennial"
"2022/02/08 3:07:44 PM EST","2005","No","1992","Millennial"
"2022/02/08 3:12:22 PM EST","2001","No","1983","Millennial"
"2022/02/08 3:20:27 PM EST","1995","No","1982","Millennial"
"2022/02/08 3:23:07 PM EST","2001","No","1984","Millennial"
"2022/02/08 3:38:30 PM EST","2008","No","1998","Zillenial or Millenial depens on where I am accepted being born 1998"
"2022/02/08 3:42:22 PM EST","2005","No","1998","Millennial"
"2022/02/08 3:45:03 PM EST","2000","No","1986","Millennial"
"2022/02/08 3:51:20 PM EST","2005","No","1992","Millennial"
"2022/02/08 3:52:49 PM EST","2006","No","1991","Millennial"
"2022/02/08 4:01:06 PM EST","2012","No","2000","Gen Z"
"2022/02/08 4:15:40 PM EST","2005","No","1992","Millennial"
"2022/02/08 4:27:14 PM EST","2001","No","1985","Millennial"
"2022/02/08 4:37:29 PM EST","2005","No","1990","Millennial"
"2022/02/08 4:49:00 PM EST","2009","Yes","1994","I relate to both."
"2022/02/08 4:52:08 PM EST","2001","No","1986","Millennial"
"2022/02/08 4:52:32 PM EST","2009","No","1998","Millennial"
"2022/02/08 4:56:15 PM EST","2009","No","1998","Millennial"
"2022/02/08 4:58:29 PM EST","2004","No","1983","Millennial"
"2022/02/08 5:08:07 PM EST","2010","No","1994","Millennial"
"2022/02/08 5:17:50 PM EST","2004","No","1992","Millennial"
"2022/02/08 5:24:51 PM EST","2003","No","1989","Millennial"
"2022/02/08 5:29:42 PM EST","2004","No","1992","Millennial"
"2022/02/08 5:32:43 PM EST","2004","No","1986","Millennial"
"2022/02/08 5:39:49 PM EST","2001","No","1993","Zillennial"
"2022/02/08 5:52:15 PM EST","2008","No","1989","Millennial"
"2022/02/08 5:54:03 PM EST","2010","Yes","1983","Millennial"
"2022/02/08 5:58:05 PM EST","2003","No","1988","Millennial"
"2022/02/08 6:16:09 PM EST","2001","No","1982","Millennial"
"2022/02/08 6:23:59 PM EST","2007","No","1999","Gen Z"
"2022/02/08 6:38:40 PM EST","2018","Yes","2008","Gen Z"
"2022/02/08 6:39:39 PM EST","2018","Yes","2007","Gen Z"
"2022/02/08 6:40:49 PM EST","2018","Yes","2004","Gen Z"
"2022/02/08 6:43:11 PM EST","2016","Yes","2003","Gen Z"
"2022/02/08 6:46:01 PM EST","2016","Yes","2005","Gen Z"
"2022/02/08 6:46:06 PM EST","2010","No","2004","Gen Z"
"2022/02/08 6:49:57 PM EST","2020","Yes","2007","Gen Z"
"2022/02/08 6:50:16 PM EST","2017","Yes","2006","Gen Z"
"2022/02/08 7:02:37 PM EST","2006","No","1994","Zillenial"
"2022/02/08 7:03:49 PM EST","2009","Yes","1992","Zillennials"
"2022/02/08 7:04:03 PM EST","2006","No","1993","Millennial"
"2022/02/08 7:08:47 PM EST","2007","No","1995","Both and neither lol"
"2022/02/08 7:12:30 PM EST","2010","No","1997","Millennial"
"2022/02/08 7:16:22 PM EST","2007","No","1997","Millennial"
"2022/02/08 7:19:15 PM EST","2010","No","1995","Millennial"
"2022/02/08 7:20:39 PM EST","2000","No","1982","Millennial"
"2022/02/08 7:23:32 PM EST","2009","No","1998","Zillennial "
"2022/02/08 7:24:07 PM EST","2012","No","1998","Zillennial "
"2022/02/08 7:26:29 PM EST","2004","No","1992","Millennial"
"2022/02/08 7:27:47 PM EST","2009","No","1998","Gen Z"
"2022/02/08 7:30:56 PM EST","2009","Yes","1996","Zillennial"
"2022/02/08 7:33:33 PM EST","2004","No","1986","Millennial"
"2022/02/08 7:35:21 PM EST","2006","No","1997","Millennial"
"2022/02/08 7:39:21 PM EST","2008","No","1994","Transition between both"
"2022/02/08 7:42:13 PM EST","2015","Yes","1998","Gen Z"
"2022/02/08 7:44:01 PM EST","2010","No","2000","Gen Z"
"2022/02/08 7:54:36 PM EST","2013","Yes","2001","Early Gen Z/Zillennial "
"2022/02/08 7:58:31 PM EST","2011","No","1999","Gen Z"
"2022/02/08 7:59:15 PM EST","2008","No","1998","Gen Z"
"2022/02/08 7:59:43 PM EST","2001","No","1982","Millennial"
"2022/02/08 8:00:28 PM EST","2005","No","1995","Gen Z"
"2022/02/08 8:13:03 PM EST","2009","No","1995","Millennial"
"2022/02/08 8:14:54 PM EST","2008","Yes","2000","Gen Z"
"2022/02/08 8:20:13 PM EST","2007","No","1997","Zillennial (sort of a bs label I know but either that or a Z I guess) "
"2022/02/08 8:24:30 PM EST","2008","No","1993","Zillennial "
"2022/02/08 8:32:47 PM EST","2006","No","1996","Millennial"
"2022/02/08 8:33:55 PM EST","2007","No","1997","Zillennial "
"2022/02/08 8:35:38 PM EST","2007","No","1986","Millennial"
"2022/02/08 8:42:57 PM EST","1999","No","1977","Gen X"
"2022/02/08 8:47:26 PM EST","2003","No","1983","Millennial"
"2022/02/08 8:47:56 PM EST","2016","Yes","1995","Millennial"
"2022/02/08 8:54:52 PM EST","2010","No","1996","Millennial"
